"filename", "language", "Python", "Docker", "Markdown", "Dotenv", "YAML", "Properties", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "toml", "pip requirements", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\RUN_INSTRUCTIONS.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 38
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\clients\backend_client.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\pipeline\evaluator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\pipeline\query_analyzer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\pipeline\response_composer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\pipeline\solution_finder.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\rag\retriever.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\rag\vector_store.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\schemas\ai_contracts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\.env", "Dotenv", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\DOXA_Backend_TODO_Checklist.md", "Markdown", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 180
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\DOXA_Backend_Tech_Stack_Solution1.md", "Markdown", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 169
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\Dockerfile", "Docker", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 18
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\alembic\env.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 56
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\alembic\versions\001_initial_migration.py", "Python", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 228
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\ai.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\api.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\auth.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 75
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\kb.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 73
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\metrics.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\tickets.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 126
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\users.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\core\config.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\core\deps.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 78
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\core\security.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27
"c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\db\base.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
